outcome,guardrail,profile,emmean,std_error,conf_low,conf_high,status,detail
plausibility_index,off,R1,3.824944758690603,0.19982728357649632,3.4332904797521984,4.216599037629008,ok,NA
plausibility_index,on,R1,3.8508236950729073,0.21929732316569758,3.421008839762099,4.280638550383716,ok,NA
plausibility_index,off,R2,3.8230459172951337,0.21929732316569736,3.393231061984326,4.252860772605942,ok,NA
plausibility_index,on,R2,3.864712583961804,0.21929732316569722,3.4348977286509963,4.294527439272612,ok,NA
plausibility_index,off,R3,3.8230459172951354,0.21929732316569736,3.3932310619843276,4.252860772605944,ok,NA
plausibility_index,on,R3,3.8647125839618033,0.21929732316569722,3.4348977286509954,4.294527439272611,ok,NA
defect_index,off,R1,2.1207897445085213,0.17058371485436513,1.7864518070449156,2.4551276819721273,ok,NA
defect_index,on,R1,2.037273569873861,0.1906214307778481,1.6636624308677836,2.410884708879938,ok,NA
defect_index,off,R2,2.0456069032071946,0.19062143077784777,1.6719957642011183,2.419218042213271,ok,NA
defect_index,on,R2,2.0622735698738603,0.1906214307778477,1.688662430867784,2.4358847088799367,ok,NA
defect_index,off,R3,2.128940236540527,0.19062143077784782,1.7553290975344507,2.502551375546604,ok,NA
defect_index,on,R3,2.020606903207194,0.19062143077784766,1.6469957642011175,2.39421804221327,ok,NA
symptom_error_mean,off,R1,0.5370370370370414,0.05527621828663396,0.42869763999366456,0.6453764340804182,ok,NA
symptom_error_mean,on,R1,0.5185185185185217,0.05527621828663405,0.4101791214751447,0.6268579155618987,ok,NA
symptom_error_mean,off,R2,0.4907407407407444,0.055276218286634066,0.38240134369736734,0.5990801377841215,ok,NA
symptom_error_mean,on,R2,0.5740740740740773,0.055276218286634045,0.46573467703070026,0.6824134711174543,ok,NA
symptom_error_mean,off,R3,0.5925925925925958,0.055276218286634066,0.4842531955492187,0.7009319896359728,ok,NA
symptom_error_mean,on,R3,0.4722222222222256,0.05527621828663405,0.36388282517884857,0.5805616192656027,ok,NA
severity_error,off,R1,0.5763888888888898,0.08892851523178942,0.402092201835961,0.7506855759418187,ok,NA
severity_error,on,R1,0.33333333333333337,0.08892851523178934,0.1590366462804047,0.507630020386262,ok,NA
severity_error,off,R2,0.29166666666666646,0.08892851523178938,0.11736997961373771,0.4659633537195952,ok,NA
severity_error,on,R2,0.24999999999999997,0.08892851523178939,0.0757033129470712,0.4242966870529288,ok,NA
severity_error,off,R3,0.20833333333333331,0.08892851523178937,0.03403664628040459,0.38263002038626204,ok,NA
severity_error,on,R3,0.45833333333333326,0.08892851523178934,0.2840366462804046,0.6326300203862619,ok,NA
impact_error,off,R1,0.5763888888888882,0.10091039666682348,0.3786081457562635,0.7741696320215128,ok,NA
impact_error,on,R1,0.41666666666666596,0.10091039666682357,0.21888592353404113,0.6144474097992908,ok,NA
impact_error,off,R2,0.2916666666666663,0.10091039666682355,0.09388592353404149,0.48944740979929113,ok,NA
impact_error,on,R2,0.29166666666666624,0.10091039666682354,0.09388592353404146,0.489447409799291,ok,NA
impact_error,off,R3,0.3749999999999996,0.10091039666682357,0.17721925686737477,0.5727807431326244,ok,NA
impact_error,on,R3,0.4583333333333329,0.10091039666682355,0.2605525902007081,0.6561140764659578,ok,NA
