item_id,item_code,block,item_label,relevance_mean_1_4,clarity_mean_1_4,need_mean_1_4,relevance_support_3_4,clarity_support_3_4,need_support_3_4,overall_mean_1_4,overall_support_3_4,follow_up_flag
12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,2.6666666666666665,2.6666666666666665,3.0,0.6666666666666666,0.5,0.8333333333333334,2.7777777777777772,0.6666666666666666,True
9,R2,R,Klišé alebo šablónovité odpovede,3.0,2.8333333333333335,3.0,0.6666666666666666,0.5,0.6666666666666666,2.9444444444444446,0.611111111111111,True
10,R3,R,Nesúlad medzi kontextom a symptomatikou,3.0,3.1666666666666665,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0555555555555554,0.6666666666666666,True
8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,3.1666666666666665,3.3333333333333335,3.3333333333333335,0.6666666666666666,0.8333333333333334,0.8333333333333334,3.277777777777778,0.7777777777777778,True
3,G3,G,Vnútorná konzistentnosť rozhovoru,3.3333333333333335,3.3333333333333335,3.5,0.8333333333333334,0.8333333333333334,1.0,3.3888888888888893,0.888888888888889,False
11,R4,R,Podozrenie na inú primárnu psychopatológiu,3.5,3.8333333333333335,3.3333333333333335,0.8333333333333334,1.0,0.8333333333333334,3.555555555555556,0.888888888888889,False
5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,3.6666666666666665,3.6666666666666665,3.5,1.0,0.8333333333333334,0.8333333333333334,3.6111111111111107,0.888888888888889,False
6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,3.6666666666666665,3.6666666666666665,3.6666666666666665,1.0,0.8333333333333334,1.0,3.6666666666666665,0.9444444444444445,False
7,S2,S,Odhad funkčného dopadu na bežné fungovanie,3.5,3.8333333333333335,3.6666666666666665,0.8333333333333334,1.0,1.0,3.6666666666666665,0.9444444444444445,False
1,G1,G,Klinická vierohodnosť rozhovoru,3.6666666666666665,3.6666666666666665,3.8333333333333335,0.8333333333333334,0.8333333333333334,1.0,3.722222222222222,0.888888888888889,False
2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,3.6666666666666665,3.6666666666666665,3.8333333333333335,1.0,0.8333333333333334,1.0,3.722222222222222,0.9444444444444445,False
4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,3.5,3.8333333333333335,3.8333333333333335,0.8333333333333334,1.0,1.0,3.7222222222222228,0.9444444444444445,False
