metric,value
Zdroj dát,Vyčistené dáta
Počet hodnotiteľov,6
Počet prepisov rozhovorov,72
Počet seedov,12
Počet hodnotení,199
Priemerný počet hodnotení na prepis rozhovoru,2.76388888888889
Minimálny počet hodnotení na prepis rozhovoru,2
Maximálny počet hodnotení na prepis rozhovoru,6
Spôsob výpočtu chyby závažnosti,Priama absolútna chyba na škále 1-5
Počet hodnotení v G0,118
Počet hodnotení v G1,81
Počet hodnotení pre P1,78
Počet hodnotení pre P2,60
Počet hodnotení pre P3,61
G0 × P1,46
G0 × P2,36
G0 × P3,36
G1 × P1,32
G1 × P2,24
G1 × P3,25
